,signage_id,day,name,address,state,popular_time,weekend
126,1218,Sunday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,570,0.0
127,1218,Saturday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,564,1.0
128,1218,Tuesday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,453,0.0
129,1218,Monday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,445,0.0
130,1218,Wednesday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,444,0.0
131,1218,Thursday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,426,0.0
132,1218,Friday,TMpoint Sungai Petani,"Jalan Pengkalan,Taman Pekan Baru,Sungai Petani,Kedah",Kedah,0,1.0
133,1219,Thursday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,780,0.0
134,1219,Monday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,728,0.0
135,1219,Friday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,693,0.0
136,1219,Wednesday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,692,0.0
137,1219,Tuesday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,687,0.0
138,1219,Saturday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,581,1.0
139,1219,Sunday,TMpoint Bayan Baru,"Jalan Mayang Pasir 1,Bayan Baru,Bayan Lepas,Pulau Pinang",Pulau Pinang,466,1.0
140,1220,Saturday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,794,1.0
141,1220,Sunday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,662,1.0
142,1220,Wednesday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,607,0.0
143,1220,Thursday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,559,0.0
144,1220,Tuesday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,552,0.0
145,1220,Friday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,432,0.0
146,1220,Monday,TMpoint Jln Burmah,"Jalan Burma,George Town,George Town,Pulau Pinang",Pulau Pinang,410,0.0
147,1221,Saturday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,668,1.0
148,1221,Thursday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,641,0.0
149,1221,Wednesday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,566,0.0
150,1221,Friday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,554,0.0
151,1221,Monday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,550,0.0
152,1221,Tuesday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,392,0.0
153,1221,Sunday,TMpoint Butterworth,"Jalan Bagan Luar,Kampung Benggali,Butterworth,Pulau Pinang",Pulau Pinang,0,1.0
154,1222,Sunday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,760,1.0
155,1222,Saturday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,748,1.0
156,1222,Thursday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,693,0.0
157,1222,Friday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,656,0.0
158,1222,Monday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,652,0.0
159,1222,Tuesday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,618,0.0
160,1222,Wednesday,TMpoint Bukit Mertajam,"Jalan Perda Utara 1,Bandar Baru Perda,Bukit Mertajam,Pulau Pinang",Pulau Pinang,576,0.0
161,1223,Wednesday,TMpoint Skudai,"Jalan Laksamana 3 Lorong 1,Taman Ungku Tun Aminah,Skudai,Johor",Johor,499,0.0
162,1223,Friday,TMpoint Skudai,"Jalan Laksamana 3 Lorong 1,Taman Ungku Tun Aminah,Skudai,Johor",Johor,473,1.0
163,1223,Tuesday,TMpoint Skudai,"Jalan Laksamana 3 Lorong 1,Taman Ungku Tun Aminah,Skudai,Johor",Johor,458,0.0
164,1223,Monday,TMpoint Skudai,"Jalan Laksamana 3 Lorong 1,Taman Ungku Tun Aminah,Skudai,Johor",Johor,455,0.0
165,1223,Thursday,TMpoint Skudai,"Jalan Laksamana 3 Lorong 1,Taman Ungku Tun Aminah,Skudai,Johor",Johor,396,0.0
